iter	Passed	Remaining
0	1	135
1	2	128
2	3	124
3	5	127
4	6	123
5	7	122
6	9	123
7	10	122
8	12	122
9	13	122
10	15	122
11	16	121
12	17	119
13	19	118
14	20	117
15	22	116
16	24	117
17	25	116
18	26	114
19	28	112
20	29	110
21	30	109
22	32	107
23	33	105
24	35	105
25	36	103
26	37	102
27	39	101
28	40	99
29	42	98
30	43	96
31	44	94
32	46	93
33	47	91
34	48	89
35	49	88
36	51	86
37	52	85
38	53	83
39	55	82
40	56	81
41	57	79
42	59	78
43	60	76
44	61	74
45	62	73
46	64	72
47	65	70
48	66	69
49	67	67
50	69	66
51	70	65
52	72	63
53	73	62
54	74	61
55	76	60
56	77	58
57	78	57
58	80	55
59	81	54
60	82	53
61	84	51
62	85	50
63	86	48
64	88	47
65	89	46
66	90	44
67	92	43
68	93	41
69	94	40
70	96	39
71	97	37
72	98	36
73	99	35
74	101	33
75	102	32
76	103	30
77	104	29
78	105	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	114	20
85	115	18
86	116	17
87	117	16
88	118	14
89	120	13
90	121	11
91	122	10
92	124	9
93	125	8
94	126	6
95	128	5
96	129	3
97	130	2
98	131	1
99	133	0
