iter	Passed	Remaining
0	135	135834
1	137	68390
2	138	45862
3	138	34541
4	139	27751
5	140	23218
6	140	19982
7	141	17557
8	142	15675
9	143	14171
10	143	12931
11	144	11898
12	145	11028
13	146	10287
14	147	9653
15	147	9087
16	148	8593
17	149	8149
18	150	7752
19	150	7396
20	151	7072
21	152	6781
22	153	6513
23	154	6267
24	155	6047
25	155	5841
26	156	5645
27	157	5463
28	158	5292
29	159	5155
30	160	5006
31	161	4872
32	161	4742
33	162	4621
34	163	4504
35	164	4394
36	164	4288
37	165	4189
38	166	4093
39	167	4010
40	167	3925
41	168	3845
42	169	3767
43	169	3692
44	170	3621
45	171	3553
46	172	3488
47	172	3428
48	174	3378
49	175	3325
50	175	3273
51	176	3220
52	177	3171
53	178	3121
54	179	3077
55	180	3034
56	180	2992
57	181	2949
58	182	2908
59	183	2869
60	183	2830
61	184	2792
62	185	2758
63	186	2726
64	187	2691
65	187	2657
66	188	2624
67	189	2592
68	189	2561
69	190	2530
70	191	2505
71	192	2478
72	192	2450
73	193	2423
74	194	2395
75	194	2369
76	195	2344
77	196	2319
78	196	2295
79	197	2275
80	198	2253
81	199	2230
82	199	2205
83	200	2183
84	200	2163
85	201	2143
86	202	2122
87	202	2103
88	204	2091
89	205	2076
90	206	2058
91	206	2040
92	207	2022
93	208	2005
94	208	1988
95	209	1972
96	210	1961
97	211	1948
98	212	1933
99	213	1919
100	214	1905
101	214	1891
102	215	1878
103	216	1865
104	217	1853
105	218	1841
106	219	1828
107	219	1815
108	220	1801
109	221	1788
110	221	1776
111	222	1766
112	223	1755
113	224	1742
114	224	1731
115	225	1719
116	226	1706
117	226	1695
118	227	1684
119	228	1674
120	229	1666
121	230	1657
122	231	1648
123	231	1638
124	232	1627
125	233	1617
126	233	1606
127	234	1596
128	235	1588
129	236	1580
130	236	1571
131	237	1562
132	238	1553
133	239	1544
134	239	1536
135	240	1527
136	241	1518
137	242	1511
138	242	1505
139	243	1496
140	244	1488
141	244	1479
142	245	1470
143	246	1462
144	246	1455
145	247	1447
146	248	1441
147	249	1433
148	249	1426
149	250	1418
150	251	1411
151	251	1404
152	252	1397
153	253	1389
154	253	1382
155	254	1377
156	255	1370
157	255	1364
158	256	1357
159	257	1350
160	257	1343
161	258	1336
162	259	1330
163	259	1323
164	260	1318
165	261	1313
166	262	1307
167	262	1301
168	263	1295
169	264	1289
170	264	1283
171	265	1277
172	266	1271
173	266	1267
174	267	1262
175	268	1256
176	269	1251
177	269	1245
178	270	1240
179	271	1235
180	271	1229
181	272	1224
182	273	1219
183	273	1215
184	274	1209
185	275	1204
186	275	1199
187	276	1194
188	277	1190
189	278	1185
190	278	1180
191	279	1176
192	280	1171
193	280	1167
194	281	1162
195	282	1157
196	282	1153
197	283	1148
198	284	1143
199	284	1139
200	285	1135
201	286	1131
202	287	1128
203	287	1123
204	288	1119
205	289	1115
206	289	1110
207	290	1106
208	291	1102
209	292	1098
210	292	1095
211	293	1090
212	294	1086
213	294	1082
214	295	1078
215	296	1074
216	296	1071
217	297	1067
218	298	1064
219	299	1061
220	300	1057
221	300	1054
222	301	1050
223	302	1046
224	303	1043
225	303	1040
226	304	1037
227	305	1034
228	306	1030
229	306	1027
230	307	1023
231	308	1019
232	308	1016
233	309	1012
234	310	1009
235	311	1007
236	311	1003
237	312	1000
238	313	996
239	313	993
240	314	990
241	315	986
242	315	983
243	316	980
244	317	977
245	318	974
246	318	971
247	319	968
248	319	965
249	320	961
250	321	958
251	321	955
252	322	952
253	323	950
254	324	947
255	324	944
256	325	941
257	326	938
258	326	935
259	327	932
260	328	929
261	328	926
262	329	924
263	330	921
264	331	918
265	331	915
266	332	912
267	333	909
268	333	907
269	334	904
270	335	901
271	336	899
272	336	897
273	337	894
274	338	891
275	338	889
276	339	886
277	340	883
278	340	881
279	341	878
280	342	876
281	343	874
282	344	871
283	344	869
284	345	866
285	346	864
286	346	861
287	347	858
288	348	857
289	349	854
290	349	852
291	350	849
292	351	847
293	351	844
294	352	842
295	353	839
296	353	837
297	354	835
298	355	833
299	356	831
300	356	828
301	357	826
302	358	823
303	358	821
304	359	819
305	360	816
306	360	814
307	361	812
308	362	810
309	363	808
310	363	805
311	364	803
312	365	801
313	365	799
314	366	796
315	367	794
316	368	793
317	368	791
318	369	788
319	370	786
320	370	784
321	371	782
322	372	780
323	372	778
324	373	776
325	374	774
326	375	772
327	375	769
328	376	767
329	377	765
330	377	763
331	378	761
332	379	760
333	380	759
334	381	757
335	382	755
336	383	753
337	383	751
338	384	749
339	385	747
340	386	746
341	387	744
342	387	743
343	388	741
344	389	740
345	390	738
346	391	736
347	392	734
348	393	733
349	393	731
350	394	729
351	395	728
352	396	727
353	397	726
354	398	724
355	400	723
356	401	723
357	403	723
358	405	723
359	406	722
360	407	721
361	408	720
362	409	718
363	410	717
364	411	716
365	412	715
366	413	713
367	414	712
368	415	710
369	416	709
370	418	709
371	419	707
372	420	706
373	421	704
374	422	703
375	423	702
376	424	701
377	425	699
378	426	698
379	426	696
380	428	695
381	429	694
382	430	693
383	431	692
384	433	691
385	434	690
386	435	689
387	436	688
388	438	688
389	439	687
390	440	686
391	442	685
392	443	684
393	443	682
394	444	681
395	445	679
396	446	678
397	447	676
398	448	675
399	450	675
400	451	673
401	452	673
402	454	672
403	455	672
404	456	670
405	457	669
406	458	668
407	460	668
408	461	667
409	462	665
410	464	664
411	464	663
412	466	662
413	467	662
414	468	661
415	470	659
416	471	658
417	472	657
418	473	656
419	474	655
420	476	654
421	477	654
422	479	653
423	481	653
424	482	653
425	483	651
426	485	651
427	486	650
428	487	649
429	489	648
430	489	646
431	491	645
432	492	645
433	494	644
434	495	643
435	496	642
436	498	642
437	500	641
438	501	640
439	502	638
440	503	637
441	504	636
442	505	635
443	506	634
444	507	633
445	508	631
446	510	631
447	511	630
448	512	628
449	513	627
450	514	625
451	515	624
452	516	623
453	518	623
454	519	622
455	520	621
456	523	621
457	525	621
458	526	621
459	528	620
460	529	618
